,id,lang,text,negative,positive,neutral
0,1623284668123738118,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
2,1623284628294361088,EN,RT @jaytatum0: 👀☘️ #BillRussellLEGEND Out on @Netflix tomorrow https://t.co/0HHLKm4WHe,-1,1,0
3,1623284626138492930,EN,Day 278 of asking @netflix for a Casey and Izzie spinoff show,-1,1,0
6,1623284603938279426,EN,"RT @SnyderQueen_: 7 days to go... Are you in?
#SellZSJLtoNetflix @Netflix 
#SellSnyderVerseToNetflix https://t.co/OagLPicBA3",-1,1,0
7,1623284597776588800,EN,RT @The_BatChannel: Let’s get @ZackSnyder’s Army of the Dead trending once again on @netflix to get ready for the EPIC 2/14 #SellZSJLtoNetf…,-1,1,0
9,1623284537932259329,EN,"awww look @netflix is jealous of @hbomax so they’re trying to use pedro to get subscribers back…

if only netflix could brag about having the most talked about show on the planet - OH WAIT - they could…it’s called Warrior Nun.

NETFLIX BRING BACK OCS
#WarriorNun #SaveWarriorNun https://t.co/0VXmTBZE0Q https://t.co/rU5VR82pkX",-3,2,-1
10,1623284532794527745,EN,@Cinema_With_PRD @ayushmannk @netflix @JaideepAhlawat Respected sir please have mercy on us we're so helpless sir nobody's responding to my request please save my home please sir please I beg u please sir please save my home 🙏🙏🙏🙏🙏🙏🙏🙏🙏,-2,3,1
11,1623284525458685952,EN,"RT @CH_AKTrust: #AK sir's Mega Blockbuster #Thunivu now streaming in @netflix....

#ThunivuOnNetflix
#Ajithkumar #Ajith #AK
#CHAKCT https:/…",-1,1,0
12,1623284506730942467,EN,"RT @SnyderQueen_: 7 days to go... Are you in?
#SellZSJLtoNetflix @Netflix 
#SellSnyderVerseToNetflix https://t.co/OagLPicBA3",-1,1,0
13,1623284493221068802,EN,RT @movieguide: Family night just got even better! 📺 Get ready to celebrate the best in family television with these nominees for “Best Fam…,-1,2,1
14,1623284491086352386,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
15,1623284484585017344,EN,"RT @ChaEunwooINTL: True Beauty continues to be insanely popular ranking Global Top8 on @netflix

@NetflixKR IG post on #TrueBeauty with #Ch…",-1,2,1
16,1623284472601796608,EN,@netflix you people was not funny at all. How many times has a movie like this been made! It’s has guess who’s coming to dinner vibes….,-1,3,1
17,1623284469527371778,EN,@netflix just finished watching you people loved it.,-1,4,1
18,1623284429442662400,EN,RT @ChaEunwooINTL: 🔥#CHAEUNWOO's hit drama True Beauty success saga continues -  Launched on Netflix 2 years after release in select countr…,-2,3,1
19,1623284422945677315,EN,RT @jaytatum0: 👀☘️ #BillRussellLEGEND Out on @Netflix tomorrow https://t.co/0HHLKm4WHe,-1,1,0
20,1623284418063351814,EN,RT @hiddlestb: 1899! @netflix BRING BACK 1899 #Save1899,-1,2,1
21,1623284395766325249,EN,RT @jaytatum0: 👀☘️ #BillRussellLEGEND Out on @Netflix tomorrow https://t.co/0HHLKm4WHe,-1,1,0
22,1623284373171601414,EN,RT @sophiakarim: Getting ready to burn @Netflix’s headquarters if they don’t announce that renewal #RenewLockwoodandCo #LockwoodandCo https…,-2,1,-1
23,1623284364283990016,EN,"RT @lavenderghostco: Okay but for real

LOCKWOOD AND CO PROFILE ICONS WHEN????

(Also bloopers plz thx)

#LockwoodAndCo #renewlockwoodandco…",-1,1,0
24,1623284332092702720,EN,RT @The_BatChannel: 🧟‍♂️🎰Army of the Dead WATCH PARTY | @Netflix | @ZackSnyder | #SellSnyderVerseToNetflix #SellZSJLtoNetflix Trending Even…,-1,1,0
25,1623284331878977536,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
26,1623284284441128960,EN,"RT @delaneygabs: Isn't she beautiful??😍😍😍😍😍🥰🥰🥰🥰🥰
@netflix I need u to bring her back bring back warrior nun 🙏🙏
#SaveWarriorNun #WarriorNun…",-1,3,1
27,1623284265096970243,EN,"RT @gred122: #NowListening ALL QUIET ON THE WESTERN FRONT 🎼📽 Volker Bertelmann 
#originalmotionpicturesoundtrack #filmscore #soundtrack @ha…",-1,1,0
28,1623284261775179777,EN,"RT @jillsmo: I started watching 1899 and as soon as I thought it was good I guessed that @netflix probably cancelled it, and sure enough...…",-2,2,-1
29,1623284255655698432,EN,"RT @netflix: Jada Pinkett Smith executive produced &amp; narrates a new documentary series exploring the lives of iconic African Queens. 

Njin…",-1,1,0
30,1623284247007047682,EN,"That 90s show also got approx 65 million in its first 2 weeks as well, and that got renewed so 🤞🤞🤞

#LockwoodAndCo #renewlockwoodandco @NetflixUK @netflix https://t.co/ikgI23ZbzN",-1,1,0
31,1623284246457593858,EN,"RT @MCMotsepe85: This is 1 also goes on my Top 10 most entertaining and most thrilling TV series from @netflix @NetflixSA 
9/10 for this 1…",-1,4,1
33,1623284208226664448,EN,PLEASE PICK IT UP FROM FACEBOOK WATCH AND MAKE A SEASON 3 @netflix I'M BEGGING! 😭 https://t.co/EzIYxjUAEv,-1,3,1
36,1623284141276946432,EN,"@blairadowler I’m my opinion, @netflix seems to lack a coherent social media strategy as well as fun and engaging content to interact and build a community with its audience. #mktg475",-2,2,-1
37,1623284139721129990,EN,RT @JamesThompsonKS: Maybe @hbomax should pick up #WarriorNun and then it can have the #1 &amp; #2 most popular titles on Twitter. Or maybe @Pr…,-1,1,0
39,1623284124579397634,EN,Officially The Number One Show Globally ⁦@netflix⁩ #Lockwood&amp;Co with our #JemmaMoore &amp; #JethroSkinner cast by ⁦@KharmelCochrane⁩ developed by #JoeCornish ⁦@NetflixUK⁩ https://t.co/aUC3sCFvLJ,-1,1,0
40,1623284120339238912,EN,RT @netflix: Love is sharing a password.,-1,3,1
42,1623284082737139713,EN,"RT @TheNuGeekz: The Black suit @SkiiwalkerTweet
The Stone Quarry @ZackSnyder

Onwards to glory!!!

See you all on 214 DAY, February 14, 202…",-1,3,1
43,1623284060977086465,EN,"@blasphemusdeus @netflix @SimonDavisBarry @DavidBHayter @WilliamMiller @TonteriYoung @albabaptista_ @avanunice NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun",-1,2,1
46,1623283992790179841,EN,"RT @TheNuGeekz: Thank you for spreading the word and showing support for the new movement @SuperHiveDC!

@netflix
#SellZSJLtoNetflix 
#Sell…",-1,3,1
47,1623283984544440320,EN,"Four comedy albums on @netflix. All four won The Grammy. He's a once-in-a-lifetime talent!

#GOAT #DaveChappelle #GRAMMYs https://t.co/wUHWfyZ38h",-1,3,1
49,1623283963266564096,EN,@aangg695 @netflix I think I need one as well #SaveWarriorNun #warriornun,-1,2,1
50,1623283956425654273,EN,"TOP 3 ANIME TO WATCH IN FEBRUARY ON @netflix 

#anime https://t.co/RNM64adzJ2",-1,1,0
51,1623283948968202243,EN,@DrDc989 @Beware_The_Bat @SkiiwalkerTweet @netflix ZSJL in the end was a $250 - $270 million movie to make. Up a Netflix Original sequel to $300 million because of the salary issue alone.,-1,1,0
52,1623283946933874690,EN,"RT @sheesh_eesh3: We are waiting @netflix 
NETFLIX BRING BACK OCS 
#SaveWarriorNun #WarriorNun https://t.co/iCyP5v7uft",-1,2,1
53,1623283942257307649,EN,"Netflix UK putting up more posts about #lockwoodandco!!!

#LockwoodAndCo #renewlockwoodandco @NetflixUK @netflix https://t.co/JsxRSRQ99d",-1,2,1
55,1623283911659773952,EN,RT @caitylotzalways: officially announced all legends will not be in the flash episode.We want an end worthy of the legends. they deserve b…,-1,1,0
58,1623283898019979265,EN,"RT @awaraashamx: It's the time to renew my family @netflix 
#LockwoodandCo https://t.co/YBspCwB2Pv",-1,1,0
62,1623283823931793409,EN,"RT @SnyderQueen_: 7 days to go... Are you in?
#SellZSJLtoNetflix @Netflix 
#SellSnyderVerseToNetflix https://t.co/OagLPicBA3",-1,1,0
63,1623283808928690178,EN,@hatfinch @SQW103 @allquietmovie @netflix Public sways**,-1,1,0
64,1623283799311192069,EN,"#NowListening ALL QUIET ON THE WESTERN FRONT 🎼📽 Volker Bertelmann 
#originalmotionpicturesoundtrack #filmscore #soundtrack @hauschkamusic @netflix #Oscars2023 https://t.co/QCa13Do7kE",-1,1,0
65,1623283789223936000,EN,RT @lavenderghostco: Don’t forget to keep streaming /rewatching #lockwoodandco!!! Week 3 is important in deciding the renewal status so kee…,-1,2,1
66,1623283786283712513,EN,Getting ready to burn @Netflix’s headquarters if they don’t announce that renewal #RenewLockwoodandCo #LockwoodandCo https://t.co/ok9ZDKLN8B,-2,1,-1
69,1623283735411163136,EN,"RT @netflix: If it's been a minute since you last watched Emma Stone and Ryan Gosling dazzle in La La Land, the magical movie musical is no…",-1,1,0
70,1623283707757961217,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
